"peak","gene","score"
"chr8-55939464-55940331","LYN",0.24602695263388
"chr2-40479825-40480733","SLC8A1",0.245362964128502
"chr17-48441065-48441955","SKAP1",0.24471128411348
"chr4-108113026-108113933","LEF1",0.244617717516645
"chr14-98984399-98985289","BCL11B",0.244295942274169
"chr5-83306356-83307257","VCAN",0.244052320544362
"chr22-33920662-33921525","LARGE1",0.243781000590871
"chr14-99229945-99230809","BCL11B",0.243718541550782
"chr9-134371501-134372353","RXRA",0.243289004041619
"chr22-50542310-50543166","TYMP",0.243263064557852
"chr19-2681305-2682103","GNG7",0.242703113688103
"chr6-33029148-33030010","HLA-DQB1",0.242302056681216
"chr20-32068571-32069491","HCK",0.242101807729024
"chr1-157566304-157567220","FCRL1",0.241862404771568
"chr12-31603235-31604101","DENND5B",0.241157331051152
"chr9-37196946-37197841","PAX5",0.240843156574172
"chr1-184387391-184387806","C1orf21",0.240825738265418
"chr9-37004221-37005140","PAX5",0.240755465663816
"chr7-106344714-106345380","NAMPT",0.24062793976575
"chr6-90233718-90234613","BACH2",0.240540065847037
"chr6-32636874-32637784","HLA-DRA",0.240475887925598
"chr19-7701522-7702415","FCER2",0.240177857441785
"chr17-35312775-35313657","SLFN12L",0.239931442090852
"chr7-69597828-69598721","AUTS2",0.239922229047241
"chr8-24387265-24388172","ADAM28",0.239525026426742
"chr1-202197379-202198291","LGR6",0.23950524669851
"chr11-65290458-65291341","NEAT1",0.238822727043855
"chr6-42048361-42049250","CCND3",0.238577490059348
"chr10-33715129-33716030","NRP1",0.238301889697896
"chr12-10305376-10306318","KLRD1",0.238159439370697
"chr2-227163860-227164719","COL4A4",0.237989070101039
"chr1-36203276-36204181","CSF3R",0.23756122639303
"chr22-33057942-33058824","SYN3",0.237396832454389
"chr20-40688893-40689754","MAFB",0.237163905652634
"chr14-91836126-91836967","TC2N",0.236465617763503
"chr8-11537433-11538369","BLK",0.235873790677058
"chr4-108433519-108434450","LEF1",0.235808643355033
"chr4-101699308-101700183","BANK1",0.235267611190984
"chr10-96700394-96701273","BLNK",0.235213359487536
"chr17-48429818-48430667","SKAP1",0.23512308113435
"chr5-134090258-134091181","TCF7",0.235103733329736
"chr12-31590651-31591575","DENND5B",0.234835459576347
"chr5-35810864-35811756","IL7R",0.234663675137633
"chr9-37251297-37252203","PAX5",0.234650890725899
"chr19-42113866-42114760","CD79A",0.234593057777126
"chr8-55972691-55973584","LYN",0.234305773797847
"chr6-167113879-167114664","CCR6",0.233974255330142
"chr11-78424480-78425326","GAB2",0.233944028424485
"chr6-69867021-69867841","COL19A1",0.233677270442255
"chr8-11538748-11539603","BLK",0.233619380656263
"chr3-35664328-35665223","ARPP21",0.233446448430417
"chr14-103122934-103123798","TNFAIP2",0.233262300153185
"chr22-41935930-41936845","TNFRSF13C",0.233171261325999
"chr2-100110350-100111233","AFF3",0.233092070901722
"chr14-99259040-99259940","BCL11B",0.232759895796332
"chr19-39398328-39398865","ZFP36",0.232627108872177
"chr6-33029148-33030010","HLA-DRB5",0.232494917942564
"chr1-178664017-178664926","RALGPS2",0.232444605634126
"chr10-71637771-71638679","PSAP",0.232302413417102
"chr6-14121606-14122523","CD83",0.232167321622084
"chr11-114065783-114066696","ZBTB16",0.231780784940713
"chr6-32636874-32637784","HLA-DRB1",0.231771254228749
"chr4-25874967-25875840","SEL1L3",0.231692923158214
"chr2-60353531-60354436","BCL11A",0.23141046801308
"chr9-37027276-37028183","PAX5",0.231207627039098
"chr6-41271729-41272630","TREM1",0.231194418363912
"chr12-10027460-10028345","CLEC7A",0.231164492308283
"chr2-229415940-229416879","PID1",0.230569458473386
"chr19-49500598-49501497","RPL13A",0.230472642431045
"chr8-11558387-11559292","BLK",0.22977173180163
"chr17-36107652-36108025","CCL5",0.229354408339681
"chr19-8640006-8640907","PRAM1",0.229276317027335
"chr15-51576670-51577563","DMXL2",0.229206193426514
"chr6-42045440-42046338","CCND3",0.229081609921652
"chr1-157773588-157774497","FCRL1",0.228605997073227
"chr14-98931740-98932591","BCL11B",0.228175137875201
"chr17-35888938-35889836","CCL5",0.227815344299776
"chr5-35830338-35831247","IL7R",0.227784922481815
"chr12-10167343-10168261","CLEC7A",0.22771361511687
"chr10-19816110-19816846","PLXDC2",0.226971885188541
"chr7-140252606-140253491","TBXAS1",0.226875809501793
"chr9-37065850-37066766","PAX5",0.226762503187382
"chr1-167517367-167518132","CD247",0.226595028752454
"chr10-20128550-20129459","PLXDC2",0.226561758697974
"chr6-32437089-32438003","HLA-DRA",0.226482329746999
"chr3-31946426-31947264","OSBPL10",0.226472547854317
"chr14-63852727-63853505","SYNE2",0.226470715881816
"chr5-142803187-142804076","ARHGAP26",0.226353895428042
"chr14-99603925-99604794","EVL",0.226320737039505
"chr1-158179350-158180201","FCRL1",0.226306308043923
"chr9-133855611-133856550","RXRA",0.226045915754788
"chr8-66467553-66468455","MYBL1",0.225888996500712
"chr19-54207817-54208730","OSCAR",0.225730732081062
"chr5-88882937-88883762","MEF2C",0.225423847149471
"chr10-96273131-96274042","BLNK",0.225211532534674
"chr2-164761011-164761895","COBLL1",0.225182693454055
"chr17-40602527-40603447","CCR7",0.22501372265012
"chr2-100250439-100251321","AFF3",0.224789771531537
"chr15-51585722-51586634","DMXL2",0.224589168751893
"chr8-11642043-11642961","BLK",0.224532779537982
"chr12-10554271-10555153","KLRK1",0.22433545994322
"chr12-122004023-122004913","BCL7A",0.224051352434888
"chr15-60844338-60845189","RORA",0.223767193325677
"chr14-99191509-99192343","BCL11B",0.223758993460089
"chr19-47388798-47389722","C5AR1",0.223734957946285
"chr15-51619119-51620017","DMXL2",0.223730334580262
"chr11-61041944-61042863","CD6",0.223239147123829
"chr4-85474790-85475691","ARHGAP24",0.222830463297025
"chr6-33027577-33028463","HLA-DQA1",0.222784687171652
"chr1-212485670-212486567","ATF3",0.222713095600212
"chr8-25243365-25244283","DOCK5",0.222583650515935
"chr19-39430465-39431384","ZFP36",0.222055141149236
"chr6-33027577-33028463","HLA-DRB1",0.221708813401834
"chr9-37036698-37037547","PAX5",0.221649325619776
"chr14-91869723-91870612","TC2N",0.221603115983496
"chr12-10303839-10304712","KLRD1",0.220975195787723
"chr5-172886814-172887658","DUSP1",0.220810966963603
"chr6-31572021-31572925","LTB",0.220512143170992
"chr14-91873222-91874080","TC2N",0.220203264759183
"chr2-86790609-86791430","CD8B",0.219403224282095
"chr15-51629338-51630239","DMXL2",0.219047169416076
"chr12-66188798-66189677","IRAK3",0.219015368029447
"chr6-32439352-32440271","HLA-DRA",0.218932924762
"chr6-33029148-33030010","HLA-DPB1",0.218550954863776
"chr22-50541477-50541988","TYMP",0.218316467956564
"chr14-100341112-100342029","WARS",0.218026972051371
"chr1-212488309-212489220","ATF3",0.21790756545366
"chr4-40600719-40601503","RBM47",0.217729880248597
"chr5-157487141-157488026","ADAM19",0.217668717402669
"chr2-142874072-142874948","KYNU",0.217577232953842
"chr6-33029148-33030010","HLA-DPA1",0.217464449580355
"chr1-69566914-69567785","LRRC7",0.217356559324896
"chr20-52973968-52974811","TSHZ2",0.217239936585368
"chr6-150641114-150642019","PLEKHG1",0.216989587299887
"chr8-102107783-102108622","NCALD",0.216786093977017
"chr20-31610368-31611287","HCK",0.216772476304713
"chr20-32052476-32053252","HCK",0.216641042809271
"chr4-85556993-85557856","ARHGAP24",0.216610562502846
"chr4-108080622-108081416","LEF1",0.216579874285474
"chr5-172799900-172800818","DUSP1",0.216531073187666
"chr6-150631281-150632110","PLEKHG1",0.216506901176555
"chr16-57646392-57647269","ADGRG1",0.216455502973081
"chr17-35214028-35214875","SLFN12L",0.216422251551797
"chr10-126469083-126469941","ADAM12",0.216258448003578
"chr12-44847671-44848541","NELL2",0.215976431370786
"chr4-148442109-148443006","NR3C2",0.21590112076815
"chr10-113178964-113179841","TCF7L2",0.215866806384923
"chr2-218733444-218734326","SLC11A1",0.215068095809358
"chr14-99266338-99267194","BCL11B",0.214888481924812
"chr1-150552049-150552940","ADAMTSL4-AS1",0.214551355629261
"chr4-1176946-1177824","SPON2",0.214516350498025
"chr6-150720542-150721411","PLEKHG1",0.214160730770364
"chr15-57281080-57281979","LINC00926",0.213879631430156
"chr1-178575449-178576349","RALGPS2",0.213858926632904
"chr15-60840617-60841512","RORA",0.213691334135782
"chr4-85607349-85608221","ARHGAP24",0.213683675273158
"chr5-83471185-83472042","VCAN",0.213559360135182
"chr4-108166512-108167160","LEF1",0.213268072796029
"chr15-28885624-28886457","APBA2",0.213046470859682
"chr12-10285705-10286575","KLRD1",0.212843077893008
"chr1-157726513-157727410","FCRL2",0.21279278579669
"chr2-164840224-164840923","COBLL1",0.212667487761147
"chr7-22712705-22713548","STEAP1B",0.212649080348406
"chr17-1607069-1607996","SLC43A2",0.212323681003503
"chr11-65487357-65488225","NEAT1",0.212239616843396
"chr4-101693876-101694794","BANK1",0.212233994116767
"chr3-31971987-31972846","OSBPL10",0.211786109588207
"chr20-47735457-47736362","SULF2",0.211767853839367
"chrX-1239465-1240380","CSF2RA",0.211719483561717
"chr6-32473001-32473641","HLA-DRA",0.211595625880414
"chr12-24416244-24417035","SOX5",0.211490456906638
"chr11-78289981-78290835","GAB2",0.211378230382913
"chr19-54207817-54208730","LILRB2",0.211132408087033
"chr17-10151763-10152676","GAS7",0.211081677768537
"chr19-53823952-53824843","OSCAR",0.210907485464861
"chr19-2485864-2486723","GNG7",0.210788759297473
"chr4-142565437-142566309","INPP4B",0.210680971626575
"chr15-57509727-57510581","LINC00926",0.210485385737779
"chr8-11533267-11534072","BLK",0.210278397207862
"chr12-31598807-31599711","DENND5B",0.21027061907869
"chr4-148445080-148445972","NR3C2",0.210247049223293
"chr9-134922319-134923141","FCN1",0.210085686019271
"chr6-32636874-32637784","HLA-DQB1",0.210051970304243
"chr4-108107764-108108652","LEF1",0.210040454449933
"chr4-40301364-40302273","RHOH",0.20989585340433
"chr16-3158378-3159294","IL32",0.209889294184809
"chr5-150398548-150399350","CD74",0.209821459169823
"chr9-37378065-37378974","PAX5",0.20964799502399
"chr6-107736467-107737350","SCML4",0.209635007888568
"chr10-97353751-97354648","RRP12",0.209590515567778
"chr5-172775229-172776129","DUSP1",0.209509151009335
"chr11-128476468-128477362","ETS1",0.209466766364487
"chr11-60457345-60458264","MS4A1",0.209448423370831
"chr10-123997381-123998295","CHST15",0.209440322145297
"chr19-3172150-3172986","GNG7",0.209315567350124
"chr14-99260721-99261536","BCL11B",0.209292495835016
"chr9-134928932-134929832","FCN1",0.208994592998323
"chr19-14784652-14785568","ADGRE5",0.208951827545393
"chr20-32112673-32113517","HCK",0.208879686304596
"chr12-10249525-10250385","KLRD1",0.208851173027007
"chr4-15961557-15962470","FGFBP2",0.208525053298255
"chr5-158812089-158812985","EBF1",0.208343065448185
"chr7-106421207-106422045","NAMPT",0.208111748397705
"chr5-83473343-83474188","VCAN",0.208015623585762
"chr1-206467701-206468607","SRGAP2",0.2080034248583
"chr2-112839189-112840095","IL1B",0.207943752063617
"chr22-35301311-35302145","TOM1",0.20778902019808
"chr20-52971848-52972705","TSHZ2",0.207783595431387
"chr17-40607695-40608651","CCR7",0.207754750362701
"chr9-37382508-37383409","PAX5",0.207736891442071
"chr6-90266730-90267606","BACH2",0.207604888468111
"chr5-134132173-134133085","TCF7",0.207602083587343
"chr14-24609490-24610348","GZMH",0.207568993284859
"chr5-158676547-158677372","EBF1",0.207449916073069
"chr16-31128609-31129478","ITGAX",0.207309615125576
"chr9-36949201-36950070","PAX5",0.207294130594224
"chr10-96287863-96288583","BLNK",0.207273790293335
"chr5-111230095-111230980","CAMK4",0.207256044431879
"chr10-60727779-60728663","ANK3",0.20720387980517
"chr6-32437089-32438003","HLA-DRB1",0.207153481677081
"chr7-28685499-28686396","CREB5",0.207130568233854
"chr3-171460061-171460926","TNIK",0.207010259462105
"chr9-37408873-37409799","ZCCHC7",0.206867564962176
"chr1-36371134-36372048","CSF3R",0.206589248806502
"chr18-2646232-2647146","EMILIN2",0.206433389222828
"chr5-159083761-159084658","EBF1",0.206293998262751
"chr22-50304201-50304954","TYMP",0.206124801010043
"chr19-43674165-43675101","PLAUR",0.205715844297423
"chr5-83368390-83368863","VCAN",0.205583551520378
"chr5-35856399-35857293","IL7R",0.205234909819101
"chr6-33027577-33028463","HLA-DQB1",0.205194816868375
"chr14-103121263-103122146","TNFAIP2",0.205015876874128
"chr9-37100491-37101406","PAX5",0.204840549908273
"chr10-95831987-95832900","BLNK",0.2047394112138
"chr4-142703664-142704562","INPP4B",0.204517487229203
"chr1-167935877-167936703","CD247",0.204421987944182
"chr6-32636874-32637784","HLA-DPB1",0.204205345071286
"chr6-17993224-17994114","KIF13A",0.204174585691995
"chr7-108456066-108456921","NRCAM",0.204120021194426
"chr4-108030065-108030939","LEF1",0.204108085547694
"chr7-22661750-22662657","STEAP1B",0.20404944578132
"chr22-17594459-17595322","MICAL3",0.204025026703511
"chr19-54905621-54906524","NCR1",0.20344530231793
"chr9-90801278-90802173","SYK",0.203355780725151
"chr18-9707749-9708656","RAB31",0.203154220211267
"chr11-61101944-61102839","CD6",0.203147865033517
"chr12-10186114-10186944","CLEC7A",0.203137738285188
"chr10-112852006-112852885","TCF7L2",0.203057274934335
"chr9-73172030-73172869","ANXA1",0.20280093331286
"chr6-127934215-127935117","THEMIS",0.202788759634737
"chr17-66331012-66331878","PRKCA",0.202732471237236
"chr4-40811914-40812599","RBM47",0.202622120139142
"chr9-107760586-107761483","KLF4",0.202483611699476
"chr12-119988561-119989455","RPLP0",0.202462115867401
"chr9-297162-297985","DOCK8",0.202454800541699
"chr1-178486480-178487411","RALGPS2",0.202451331638522
"chr6-41286394-41287271","TREM1",0.202356867056083
"chr9-113187813-113188747","SLC31A2",0.202351686757866
"chr2-172495923-172496828","ITGA6",0.202168134755089
"chr17-35895908-35896782","CCL5",0.202070398636815
"chr11-9615163-9615785","SWAP70",0.202054028955402
"chr1-167518259-167519044","CD247",0.201995887667138
"chr17-10033786-10034667","GAS7",0.20195950769019
"chr5-150429281-150430191","CD74",0.201719460475481
"chr10-31318711-31319532","ZEB1",0.201589573621782
"chr14-63864003-63864897","SYNE2",0.201468540672433
"chr6-32439352-32440271","HLA-DRB1",0.20130634531112
"chr18-3177686-3178603","EMILIN2",0.20110767681864
"chr17-35900286-35901163","CCL5",0.201048871846405
"chr5-80960101-80961019","RASGRF2",0.200962309033317
"chr22-37163859-37164775","IL2RB",0.200765225148223
"chr14-95395944-95396834","TCL1A",0.200467360507296
"chr14-75283766-75284470","FOS",0.200346872349365
"chr11-128302216-128303130","ETS1",0.200209467792106
"chr19-47309311-47310188","C5AR1",0.20003839237618
"chr5-158958005-158958917","EBF1",0.199969913710936
"chr5-142104265-142105159","NDFIP1",0.199962513418615
"chr1-183604229-183605143","NCF2",0.199810994998149
"chr4-90128253-90129060","CCSER1",0.199723878264294
"chr6-90218465-90219262","BACH2",0.199546370236722
"chr9-107674706-107675496","KLF4",0.199519706929433
"chr9-107548076-107548971","KLF4",0.199515904865335
"chr11-61021436-61022323","CD6",0.199427530403788
"chr17-47829609-47830453","TBX21",0.199351111649984
"chr19-49555734-49556588","NOSIP",0.199238277541667
"chr20-32062508-32063353","HCK",0.199015998991165
"chr14-91880728-91881618","TC2N",0.198996686649615
"chr17-82126428-82127353","CD7",0.19896955213922
"chr1-36374361-36375070","CSF3R",0.198913040284805
"chr12-10307494-10308284","KLRD1",0.198872021672725
"chr4-101862324-101863201","BANK1",0.198801580318225
"chr2-16656653-16657528","FAM49A",0.198760717331809
"chr10-69065507-69066355","SRGN",0.198727808878997
"chr5-142095412-142096320","NDFIP1",0.198638654778091
"chr9-107675701-107676580","KLF4",0.198460882650075
"chr6-33570693-33571643","RPS18",0.198424762688715
"chr14-61452234-61453119","PRKCH",0.19833206564442
"chr7-36283403-36284290","AOAH",0.197922047863242
"chr4-40621428-40622319","RBM47",0.197877805222976
"chr8-47737772-47738690","CEBPD",0.197806241278786
"chr5-157252804-157253701","ITK",0.197728000157062
"chr3-111674084-111675008","CD96",0.19769814360301
"chr10-70616586-70617473","PRF1",0.197621521760381
"chr17-27244613-27245619","WSB1",0.197541064355532
"chr7-28799886-28800793","CPVL",0.197527188577425
"chr1-24910850-24911749","RUNX3",0.197274198421451
"chr12-9764551-9765435","CD69",0.197244039028981
"chr1-167491898-167492808","CD247",0.19704590849944
"chr2-86793460-86794316","CD8A",0.197013492195056
"chr10-113151081-113152004","TCF7L2",0.196686335206421
"chr6-69886938-69887733","COL19A1",0.196531676072197
"chr6-144149912-144150816","STX11",0.196246751902423
"chr12-10602523-10603345","KLRD1",0.19609995424202
"chr20-20259260-20260170","RIN2",0.196008461988651
"chr15-57259280-57260151","LINC00926",0.195910750178342
"chr2-86793460-86794316","CD8B",0.195889078641851
"chr8-125971689-125972588","LINC00861",0.195797703165406
"chr2-86808121-86808920","CD8A",0.195744030413953
"chr15-51622499-51623319","DMXL2",0.195466812554048
"chr15-28890558-28891479","APBA2",0.195460852423775
"chr9-107483803-107484576","KLF4",0.195439735089458
"chr2-70029610-70030518","MXD1",0.195312482973056
"chr12-10027460-10028345","CLEC12A",0.195217105704478
"chr2-218744973-218745806","SLC11A1",0.195076562497259
"chr14-91405032-91405961","TC2N",0.195026738045124
"chr1-192813296-192814099","RGS2",0.194896397517572
"chr4-184896648-184897566","ACSL1",0.194767305013909
"chr6-7962955-7963879","TXNDC5",0.194722582115562
"chr10-113169758-113170677","TCF7L2",0.194535982947547
"chr11-60633580-60634423","MS4A1",0.194488943069158
"chr1-158930197-158931056","PYHIN1",0.194393662936414
"chr1-157552015-157552857","FCRL1",0.194310082171611
"chr19-54207817-54208730","LILRB3",0.194179694057445
"chr1-36486365-36487260","CSF3R",0.194162552364852
"chr2-144659422-144660249","ZEB2",0.194158329962719
"chr13-99087313-99088187","DOCK9",0.194129022058103
"chr20-24948732-24949611","CST7",0.19404417858223
"chr17-67440760-67441680","PITPNC1",0.193955006713595
"chr2-60439124-60440032","BCL11A",0.193917316982107
"chr1-184386647-184387285","C1orf21",0.193891771062216
"chr10-125161023-125161948","CTBP2",0.193631910880496
"chr5-35822262-35823114","IL7R",0.193349391820226
"chr19-8640006-8640907","MYO1F",0.193096878514009
"chr17-36107652-36108025","CCL4",0.192928503768798
"chr9-81655724-81656439","TLE1",0.192764576610114
"chr6-32437089-32438003","HLA-DQB1",0.19274560248578
"chr7-101717493-101718373","CUX1",0.192644016459674
"chr5-157265683-157266534","ITK",0.192642475090034
"chr12-9827000-9827869","KLRF1",0.192483916121651
"chr10-114540972-114541878","ABLIM1",0.192414855855566
"chr14-75144728-75145638","FOS",0.192403109781388
"chr8-11589167-11590055","BLK",0.192308225747505
"chr19-54207817-54208730","MYADM",0.192262273880717
"chr5-159052512-159053232","EBF1",0.19224642615926
"chr6-32636874-32637784","HLA-DRB5",0.192076290164035
"chr6-150689927-150690741","PLEKHG1",0.19206614055084
"chr9-120735127-120736043","MEGF9",0.191775415539644
"chr22-50537934-50538689","TYMP",0.191578656808308
"chr14-100553853-100554759","WARS",0.191572405571156
"chr4-40731513-40732373","RBM47",0.191404235357241
"chr7-5423625-5424531","TNRC18",0.191338389174655
"chr6-150765053-150765947","PLEKHG1",0.191276638381921
"chr2-218377827-218378716","SLC11A1",0.19127024997269
"chr7-28408814-28409720","CREB5",0.191216020157859
"chr1-150552049-150552940","CTSS",0.191203762284638
"chr4-151015173-151016116","LRBA",0.191171166782971
"chr17-78252092-78252943","TNRC6C",0.19105761846752
"chr6-127918306-127919237","THEMIS",0.190650746564226
"chr6-33027577-33028463","HLA-DPB1",0.190628382756702
"chr19-2332055-2332920","GNG7",0.190590233317597
"chr11-14554691-14555588","PDE3B",0.190476479678927
"chr1-69648206-69649112","LRRC7",0.190448921845257
"chr14-61335665-61336552","PRKCH",0.190179261102595
"chr6-32439352-32440271","HLA-DQB1",0.190155279938564
"chr9-124223102-124223996","DENND1A",0.190139110683301
"chr5-35858874-35859754","IL7R",0.189951126689701
"chr10-71888489-71889409","PSAP",0.189929154109797
"chr18-46397768-46398636","RNF165",0.189818989723074
"chr10-113093850-113094742","TCF7L2",0.18979195909333
"chr10-48684589-48685326","WDFY4",0.189695361912751
"chr19-54803174-54803941","NCR1",0.189651973400271
"chr10-112835874-112836772","TCF7L2",0.189523255203164
"chr6-152634523-152635405","SYNE1",0.189314891575431
"chr5-80957777-80958685","RASGRF2",0.189305148303369
"chr14-91415790-91416688","TC2N",0.189100194384866
"chr1-24372821-24373720","CNR2",0.189038650958496
"chr12-10128412-10129279","CLEC12A",0.188965531817191
"chr1-23619263-23620168","RPL11",0.188904001413485
"chr20-32034439-32035295","HCK",0.188872727742299
"chr4-142566893-142567747","INPP4B",0.188863557498113
"chr8-55883668-55884509","LYN",0.188851293346606
"chr10-69047827-69048703","SRGN",0.188826705827353
"chr12-9827000-9827869","KLRD1",0.18876877673624
"chr14-95695659-95696542","TCL1A",0.188756012384194
"chr19-35328693-35329591","CD22",0.188728038614041
"chr19-2324784-2325627","GNG7",0.188606925178386
"chr8-55879382-55880221","LYN",0.188550942067879
"chr4-153652319-153653092","TLR2",0.188544786917574
